net,length_um
u_ctrl.u_task_table.wcet_mem\[10\]\[3\],10.145µm
_03585_,10.14µm
_19426_,10.14µm
u_ctrl.u_task_table.status_mem\[11\]\[0\],10.14µm
u_ctrl.u_task_table.deadline_mem\[1\]\[8\],10.13µm
_00554_,10.12µm
_01271_,10.12µm
_02332_,10.12µm
_03119_,10.12µm
_09322_,10.12µm
_16397_,10.12µm
_19520_,10.12µm
_20647_,10.12µm
u_sq.cnt_mem\[15\]\[9\],10.12µm
_00504_,10.1µm
_08499_,10.1µm
_16680_,10.1µm
_20862_,10.1µm
net1955,10.1µm
_01003_,10.08µm
_01060_,10.08µm
_01749_,10.08µm
_03758_,10.08µm
_07777_,10.08µm
_09588_,10.08µm
_11148_,10.08µm
_17164_,10.08µm
_19791_,10.08µm
_19889_,10.08µm
u_ctrl.u_task_table.period_mem\[1\]\[7\],10.08µm
_06658_,10.075µm
_12508_,10.065µm
u_ctrl.u_task_table.period_mem\[8\]\[9\],10.065µm
_01045_,10.06µm
_07107_,10.06µm
_09959_,10.06µm
_10067_,10.06µm
_11449_,10.06µm
_11493_,10.06µm
_20134_,10.06µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[15\],10.06µm
_03167_,10.04µm
_03760_,10.04µm
_05668_,10.04µm
_05856_,10.04µm
_06296_,10.04µm
_09150_,10.04µm
_09651_,10.04µm
_11667_,10.04µm
_12155_,10.04µm
_12777_,10.04µm
_14441_,10.04µm
_14553_,10.04µm
_15287_,10.04µm
_16187_,10.04µm
_20709_,10.04µm
u_ctrl.u_task_table.remaining_wcet_mem\[8\]\[0\],10.04µm
u_sq.cnt_mem\[12\]\[8\],10.04µm
u_sq.cnt_mem\[3\]\[14\],10.04µm
u_sq.cnt_mem\[4\]\[21\],10.04µm
u_sq.cnt_mem\[8\]\[12\],10.04µm
u_sq.cnt_mem\[8\]\[24\],10.04µm
_02104_,10.02µm
_15440_,10.02µm
_16159_,10.02µm
u_ctrl.u_task_table.priority_mem\[13\]\[1\],10.02µm
u_sq.cnt_mem\[4\]\[4\],10.02µm
_00085_,10µm
_00130_,10µm
_02579_,10µm
_03492_,10µm
_03783_,10µm
_10300_,10µm
_10949_,10µm
_15840_,10µm
_16541_,10µm
_16557_,10µm
_17023_,10µm
_17238_,10µm
_20881_,10µm
_03839_,9.98µm
_06004_,9.98µm
_11146_,9.98µm
_13652_,9.98µm
_14875_,9.98µm
u_ctrl.u_task_table.period_mem\[6\]\[7\],9.98µm
u_scan.scan_reg\[65\],9.98µm
u_sq.cnt_mem\[1\]\[31\],9.98µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[13\],9.965µm
_06654_,9.96µm
_12719_,9.96µm
_12904_,9.96µm
_13950_,9.96µm
_14995_,9.96µm
_16244_,9.96µm
_18120_,9.96µm
_20026_,9.96µm
_21440_,9.96µm
u_ctrl.u_task_table.priority_mem\[2\]\[1\],9.96µm
u_sq.cnt_mem\[6\]\[23\],9.96µm
u_sq.cnt_mem\[7\]\[4\],9.96µm
u_sq.cnt_mem\[8\]\[0\],9.96µm
_00282_,9.94µm
_02450_,9.94µm
_05218_,9.94µm
_08971_,9.94µm
_10706_,9.94µm
_11177_,9.94µm
_12682_,9.94µm
_12865_,9.94µm
_13863_,9.94µm
_14254_,9.94µm
_17754_,9.94µm
_21023_,9.94µm
u_ctrl.u_task_table.abs_deadline_mem\[1\]\[13\],9.94µm
u_ctrl.u_task_table.wcet_mem\[4\]\[11\],9.94µm
u_sq.cnt_mem\[9\]\[13\],9.94µm
_04863_,9.93µm
_05714_,9.925µm
_00341_,9.92µm
_03343_,9.92µm
_04118_,9.92µm
_06451_,9.92µm
_07938_,9.92µm
_10142_,9.92µm
_14912_,9.92µm
_16199_,9.92µm
_18205_,9.92µm
u_ctrl.u_task_table.period_mem\[3\]\[8\],9.92µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[12\],9.92µm
u_ctrl.u_task_table.remaining_wcet_mem\[5\]\[5\],9.92µm
u_ctrl.u_task_table.wcet_mem\[14\]\[1\],9.92µm
u_ctrl.u_task_table.wcet_mem\[9\]\[11\],9.92µm
_00427_,9.9µm
_07085_,9.9µm
_08544_,9.9µm
_10795_,9.9µm
_11208_,9.9µm
_13330_,9.9µm
_13481_,9.9µm
_15984_,9.9µm
_17452_,9.9µm
u_ctrl.u_task_table.deadline_mem\[8\]\[6\],9.9µm
u_ctrl.u_task_table.priority_mem\[8\]\[3\],9.9µm
u_sq.cnt_mem\[10\]\[21\],9.9µm
_10397_,9.895µm
_02881_,9.88µm
_05422_,9.88µm
_05910_,9.88µm
_09400_,9.88µm
_09483_,9.88µm
_10197_,9.88µm
_11832_,9.88µm
_12179_,9.88µm
_16077_,9.88µm
_17800_,9.88µm
_18703_,9.88µm
_19236_,9.88µm
_19797_,9.88µm
_20596_,9.88µm
u_ctrl.flags_reg\[5\],9.88µm
u_ctrl.u_task_table.deadline_mem\[14\]\[9\],9.88µm
u_ctrl.u_task_table.period_mem\[7\]\[1\],9.88µm
_01081_,9.865µm
_00497_,9.86µm
_06141_,9.86µm
_07562_,9.86µm
_07913_,9.86µm
_08321_,9.86µm
_09219_,9.86µm
_09380_,9.86µm
_09451_,9.86µm
_09574_,9.86µm
_09613_,9.86µm
_09642_,9.86µm
_09930_,9.86µm
_10440_,9.86µm
_10613_,9.86µm
_10631_,9.86µm
_12324_,9.86µm
_12359_,9.86µm
_14730_,9.86µm
_16781_,9.86µm
_17096_,9.86µm
_17559_,9.86µm
_18114_,9.86µm
_19787_,9.86µm
_20361_,9.86µm
scan_parallel\[11\],9.86µm
_12458_,9.855µm
u_ctrl.u_task_table.abs_deadline_mem\[5\]\[14\],9.845µm
_05504_,9.84µm
_06589_,9.84µm
_09748_,9.84µm
_15339_,9.84µm
_18773_,9.84µm
_19769_,9.84µm
u_ctrl.u_task_table.period_mem\[12\]\[2\],9.84µm
u_sq.cnt_mem\[6\]\[29\],9.84µm
_05101_,9.83µm
u_ctrl.u_task_table.wcet_mem\[2\]\[3\],9.825µm
_00917_,9.82µm
_03394_,9.82µm
_03872_,9.82µm
_05260_,9.82µm
_08301_,9.82µm
_11867_,9.82µm
_11974_,9.82µm
_11995_,9.82µm
_13244_,9.82µm
_13875_,9.82µm
_14985_,9.82µm
_15859_,9.82µm
_16602_,9.82µm
_19007_,9.82µm
_19097_,9.82µm
_19245_,9.82µm
_21216_,9.82µm
u_ctrl.u_task_table.abs_deadline_mem\[6\]\[2\],9.82µm
u_ctrl.u_task_table.deadline_mem\[0\]\[0\],9.82µm
u_ctrl.u_task_table.remaining_wcet_mem\[8\]\[15\],9.82µm
u_ctrl.u_task_table.remaining_wcet_mem\[9\]\[0\],9.82µm
u_ctrl.u_task_table.wcet_mem\[13\]\[1\],9.82µm
u_ctrl.u_task_table.wcet_mem\[1\]\[14\],9.82µm
u_ctrl.u_task_table.wcet_mem\[5\]\[11\],9.82µm
u_ctrl.u_task_table.wcet_mem\[9\]\[13\],9.82µm
_03286_,9.8µm
_03761_,9.8µm
_05649_,9.8µm
_06794_,9.8µm
_11271_,9.8µm
_11467_,9.8µm
_14406_,9.8µm
_16642_,9.8µm
_16964_,9.8µm
_17891_,9.8µm
_18071_,9.8µm
_19710_,9.8µm
_21324_,9.8µm
u_ctrl.u_task_table.deadline_mem\[0\]\[12\],9.8µm
u_ctrl.u_task_table.deadline_mem\[0\]\[13\],9.8µm
u_ctrl.u_task_table.wcet_mem\[3\]\[15\],9.795µm
_09463_,9.785µm
u_ctrl.u_task_table.wcet_mem\[4\]\[9\],9.785µm
_03750_,9.78µm
_09369_,9.78µm
_11085_,9.78µm
_11116_,9.78µm
_11234_,9.78µm
_12592_,9.78µm
_14277_,9.78µm
_14818_,9.78µm
_14825_,9.78µm
_16912_,9.78µm
_17871_,9.78µm
_18147_,9.78µm
_19234_,9.78µm
_20740_,9.78µm
_20782_,9.78µm
_21167_,9.78µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[10\],9.78µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[14\],9.78µm
u_ctrl.u_task_table.deadline_mem\[14\]\[15\],9.78µm
u_ctrl.u_task_table.period_mem\[14\]\[2\],9.78µm
u_ctrl.u_task_table.period_mem\[5\]\[13\],9.78µm
u_sq.cnt_mem\[0\]\[18\],9.78µm
u_sq.cnt_mem\[11\]\[18\],9.78µm
_19961_,9.77µm
_09818_,9.76µm
_10657_,9.76µm
_11014_,9.76µm
_11109_,9.76µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[3\],9.76µm
_05887_,9.74µm
_11976_,9.74µm
_12340_,9.74µm
_12960_,9.74µm
_13280_,9.74µm
_15504_,9.74µm
u_ctrl.u_task_table.period_mem\[2\]\[12\],9.74µm
u_ctrl.u_task_table.period_mem\[4\]\[14\],9.74µm
u_ctrl.u_task_table.remaining_wcet_mem\[12\]\[11\],9.74µm
u_ctrl.u_task_table.remaining_wcet_mem\[15\]\[3\],9.74µm
u_ctrl.u_task_table.wcet_mem\[14\]\[14\],9.74µm
u_sq.cnt_mem\[8\]\[25\],9.74µm
u_ctrl.u_task_table.abs_deadline_mem\[5\]\[15\],9.725µm
_05992_,9.72µm
_11047_,9.72µm
_11285_,9.72µm
_11293_,9.72µm
_13877_,9.72µm
_14490_,9.72µm
u_ctrl.u_task_table.abs_deadline_mem\[10\]\[6\],9.72µm
u_ctrl.u_task_table.deadline_mem\[3\]\[13\],9.72µm
u_ctrl.u_task_table.period_mem\[0\]\[0\],9.72µm
u_sq.cnt_mem\[11\]\[23\],9.72µm
rsp_word\[18\],9.71µm
u_ctrl.u_task_table.deadline_mem\[9\]\[14\],9.705µm
_03679_,9.7µm
_04541_,9.7µm
_11403_,9.7µm
_11682_,9.7µm
_11864_,9.7µm
_13267_,9.7µm
_15577_,9.7µm
_15705_,9.7µm
_18040_,9.7µm
_18508_,9.7µm
_19047_,9.7µm
_20159_,9.7µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[12\],9.7µm
u_ctrl.u_task_table.abs_deadline_mem\[5\]\[13\],9.7µm
u_ctrl.u_task_table.abs_deadline_mem\[5\]\[9\],9.7µm
u_ctrl.u_task_table.deadline_mem\[2\]\[5\],9.7µm
u_ctrl.u_task_table.deadline_mem\[6\]\[14\],9.7µm
u_ctrl.u_task_table.deadline_mem\[8\]\[2\],9.7µm
u_ctrl.u_task_table.deadline_mem\[8\]\[5\],9.7µm
u_ctrl.u_task_table.priority_mem\[11\]\[0\],9.7µm
u_ctrl.u_task_table.priority_mem\[11\]\[3\],9.7µm
u_ctrl.u_task_table.remaining_wcet_mem\[15\]\[10\],9.7µm
u_ctrl.u_task_table.status_mem\[12\]\[1\],9.7µm
u_ctrl.u_task_table.wcet_mem\[13\]\[15\],9.7µm
u_sq.cnt_mem\[10\]\[5\],9.7µm
net1653,9.7µm
u_ctrl.u_task_table.abs_deadline_mem\[2\]\[4\],9.695µm
_02703_,9.68µm
_09309_,9.68µm
_13870_,9.68µm
u_ctrl.u_task_table.abs_deadline_mem\[3\]\[3\],9.68µm
u_ctrl.u_task_table.deadline_mem\[11\]\[7\],9.68µm
u_ctrl.u_task_table.period_mem\[2\]\[11\],9.68µm
u_ctrl.u_task_table.wcet_mem\[15\]\[3\],9.68µm
u_sq.cnt_mem\[4\]\[26\],9.68µm
_08045_,9.675µm
_00802_,9.66µm
_02548_,9.66µm
_03576_,9.66µm
_06603_,9.66µm
_07389_,9.66µm
_10964_,9.66µm
_11941_,9.66µm
_14551_,9.66µm
_17563_,9.66µm
_17844_,9.66µm
_18381_,9.66µm
_18804_,9.66µm
_19178_,9.66µm
_19956_,9.66µm
_20523_,9.66µm
u_ctrl.u_task_table.deadline_mem\[9\]\[9\],9.66µm
u_ctrl.u_task_table.wcet_mem\[2\]\[1\],9.66µm
u_spi.tx_shift\[28\],9.66µm
u_ctrl.u_task_table.abs_deadline_mem\[9\]\[10\],9.655µm
_02983_,9.65µm
u_ctrl.u_task_table.period_mem\[3\]\[10\],9.645µm
u_ctrl.u_task_table.remaining_wcet_mem\[2\]\[5\],9.645µm
_00581_,9.64µm
_15055_,9.64µm
_21110_,9.64µm
u_ctrl.u_task_table.wcet_mem\[13\]\[10\],9.64µm
u_ctrl.u_task_table.wcet_mem\[3\]\[0\],9.64µm
_00119_,9.62µm
_04821_,9.62µm
_05935_,9.62µm
_06144_,9.62µm
_11330_,9.62µm
_16271_,9.62µm
_18044_,9.62µm
_18165_,9.62µm
_19332_,9.62µm
_19783_,9.62µm
u_sq.cnt_mem\[5\]\[13\],9.62µm
u_sq.cnt_mem\[5\]\[4\],9.62µm
_17334_,9.61µm
_04141_,9.6µm
_07697_,9.6µm
_08114_,9.6µm
_09032_,9.6µm
_09766_,9.6µm
_14337_,9.6µm
_14996_,9.6µm
_19539_,9.6µm
_20435_,9.6µm
u_ctrl.u_task_table.abs_deadline_mem\[9\]\[13\],9.6µm
u_ctrl.u_task_table.remaining_wcet_mem\[6\]\[8\],9.6µm
u_ctrl.u_task_table.wcet_mem\[4\]\[2\],9.6µm
u_ctrl.u_task_table.wcet_mem\[1\]\[9\],9.59µm
_04362_,9.58µm
_06648_,9.58µm
_14576_,9.58µm
_16918_,9.58µm
_17101_,9.58µm
_18006_,9.58µm
_19284_,9.58µm
_19843_,9.58µm
_20043_,9.58µm
u_ctrl.u_task_table.abs_deadline_mem\[0\]\[6\],9.58µm
u_ctrl.u_task_table.deadline_mem\[14\]\[8\],9.58µm
u_ctrl.u_task_table.period_mem\[0\]\[8\],9.58µm
u_ctrl.u_task_table.period_mem\[5\]\[15\],9.58µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[7\],9.58µm
_20371_,9.57µm
_00457_,9.56µm
_00875_,9.56µm
_03671_,9.56µm
_09488_,9.56µm
u_ctrl.u_task_table.abs_deadline_mem\[8\]\[12\],9.56µm
u_ctrl.u_task_table.period_mem\[3\]\[7\],9.56µm
_02782_,9.555µm
_06184_,9.54µm
_06349_,9.54µm
_07961_,9.54µm
_10317_,9.54µm
_11399_,9.54µm
_11852_,9.54µm
_14463_,9.54µm
_15336_,9.54µm
_15731_,9.54µm
_15817_,9.54µm
_16502_,9.54µm
_17035_,9.54µm
_18005_,9.54µm
_18092_,9.54µm
_18139_,9.54µm
_18559_,9.54µm
_18761_,9.54µm
_19095_,9.54µm
u_spi.tx_shift\[16\],9.525µm
_10439_,9.52µm
_12521_,9.52µm
_14485_,9.52µm
_20578_,9.52µm
u_ctrl.u_task_table.wcet_mem\[13\]\[3\],9.52µm
_14438_,9.51µm
_00880_,9.5µm
_03215_,9.5µm
_04548_,9.5µm
_05263_,9.5µm
_08959_,9.5µm
_09901_,9.5µm
_10853_,9.5µm
_11062_,9.5µm
_11207_,9.5µm
_14734_,9.5µm
_16887_,9.5µm
_17077_,9.5µm
_18543_,9.5µm
_20194_,9.5µm
_20376_,9.5µm
u_ctrl.u_task_table.remaining_wcet_mem\[9\]\[3\],9.5µm
u_sq.cnt_mem\[9\]\[29\],9.5µm
_04007_,9.49µm
u_ctrl.u_task_table.wcet_mem\[15\]\[5\],9.485µm
_00237_,9.48µm
_00308_,9.48µm
_05987_,9.48µm
_11490_,9.48µm
_12153_,9.48µm
_12254_,9.48µm
_12264_,9.48µm
_12315_,9.48µm
_12862_,9.48µm
_13602_,9.48µm
_13642_,9.48µm
_13901_,9.48µm
_14193_,9.48µm
_14330_,9.48µm
_15271_,9.48µm
_16681_,9.48µm
_16968_,9.48µm
_19374_,9.48µm
_19732_,9.48µm
_20781_,9.48µm
_20928_,9.48µm
u_ctrl.u_task_table.deadline_mem\[12\]\[8\],9.48µm
u_ctrl.u_task_table.deadline_mem\[13\]\[12\],9.48µm
u_ctrl.u_task_table.deadline_mem\[8\]\[7\],9.48µm
u_ctrl.u_task_table.wcet_mem\[6\]\[4\],9.48µm
u_ctrl.u_task_table.wcet_mem\[8\]\[6\],9.48µm
u_scan.scan_reg\[16\],9.48µm
u_sq.cnt_mem\[4\]\[19\],9.48µm
u_ctrl.u_task_table.wcet_mem\[14\]\[6\],9.465µm
_00970_,9.46µm
_03660_,9.46µm
_04048_,9.46µm
_07327_,9.46µm
_08033_,9.46µm
_10249_,9.46µm
_11374_,9.46µm
_15771_,9.46µm
_18085_,9.46µm
_18527_,9.46µm
_20572_,9.46µm
u_ctrl.tick_count\[16\],9.46µm
u_ctrl.u_task_table.abs_deadline_mem\[0\]\[8\],9.46µm
u_ctrl.u_task_table.remaining_wcet_mem\[15\]\[9\],9.46µm
u_sq.cnt_mem\[10\]\[9\],9.46µm
_00405_,9.44µm
_01300_,9.44µm
_02679_,9.44µm
_03640_,9.44µm
_06412_,9.44µm
_10396_,9.44µm
_11630_,9.44µm
_12911_,9.44µm
_12932_,9.44µm
_14272_,9.44µm
_14334_,9.44µm
_14336_,9.44µm
_17150_,9.44µm
u_ctrl.u_task_table.abs_deadline_mem\[12\]\[2\],9.44µm
u_ctrl.u_task_table.period_mem\[13\]\[5\],9.44µm
u_ctrl.u_task_table.remaining_wcet_mem\[6\]\[9\],9.44µm
u_sq.cnt_mem\[14\]\[5\],9.44µm
_11156_,9.435µm
_20431_,9.425µm
_00590_,9.42µm
_08328_,9.42µm
_10160_,9.42µm
_10668_,9.42µm
_10790_,9.42µm
_11275_,9.42µm
_13369_,9.42µm
_15012_,9.42µm
_15805_,9.42µm
_17812_,9.42µm
_17895_,9.42µm
_19945_,9.42µm
_21317_,9.42µm
_09241_,9.41µm
_18477_,9.41µm
_20312_,9.41µm
_03035_,9.4µm
_05796_,9.4µm
_08758_,9.4µm
_08782_,9.4µm
_10277_,9.4µm
_11114_,9.4µm
_13312_,9.4µm
_13402_,9.4µm
_14205_,9.4µm
_14859_,9.4µm
_14967_,9.4µm
_15481_,9.4µm
_15656_,9.4µm
_16978_,9.4µm
_17740_,9.4µm
_19057_,9.4µm
_20373_,9.4µm
u_ctrl.u_task_table.deadline_mem\[8\]\[15\],9.4µm
u_ctrl.u_task_table.priority_mem\[0\]\[0\],9.4µm
u_ctrl.u_task_table.wcet_mem\[10\]\[5\],9.4µm
_05275_,9.39µm
_05907_,9.39µm
u_ctrl.u_task_table.period_mem\[11\]\[5\],9.385µm
u_ctrl.u_task_table.wcet_mem\[7\]\[5\],9.385µm
_02994_,9.38µm
_03113_,9.38µm
_03655_,9.38µm
_05798_,9.38µm
_09327_,9.38µm
_10032_,9.38µm
_10425_,9.38µm
_11082_,9.38µm
_11547_,9.38µm
_12256_,9.38µm
_17215_,9.38µm
_19620_,9.38µm
_20415_,9.38µm
u_ctrl.u_task_table.period_mem\[0\]\[3\],9.38µm
net1165,9.38µm
net1751,9.37µm
u_ctrl.u_task_table.deadline_mem\[1\]\[2\],9.365µm
u_ctrl.u_task_table.wcet_mem\[4\]\[10\],9.365µm
_04486_,9.36µm
_07190_,9.36µm
_07353_,9.36µm
_08200_,9.36µm
_11705_,9.36µm
_12061_,9.36µm
_13298_,9.36µm
_13919_,9.36µm
_14172_,9.36µm
_14417_,9.36µm
_16687_,9.36µm
_18063_,9.36µm
_18329_,9.36µm
_18809_,9.36µm
_21255_,9.36µm
_21398_,9.36µm
u_ctrl.pending_word2,9.36µm
u_ctrl.u_task_table.abs_deadline_mem\[0\]\[10\],9.36µm
u_ctrl.u_task_table.abs_deadline_mem\[10\]\[12\],9.36µm
u_ctrl.u_task_table.abs_deadline_mem\[5\]\[11\],9.36µm
u_ctrl.u_task_table.deadline_mem\[0\]\[4\],9.36µm
u_ctrl.u_task_table.deadline_mem\[13\]\[2\],9.36µm
u_ctrl.u_task_table.period_mem\[13\]\[10\],9.36µm
u_ctrl.u_task_table.period_mem\[13\]\[11\],9.36µm
u_ctrl.u_task_table.priority_mem\[5\]\[1\],9.36µm
u_ctrl.u_task_table.remaining_wcet_mem\[12\]\[6\],9.36µm
u_ctrl.u_task_table.remaining_wcet_mem\[5\]\[7\],9.36µm
u_ctrl.u_task_table.remaining_wcet_mem\[6\]\[1\],9.36µm
u_ctrl.u_task_table.remaining_wcet_mem\[7\]\[4\],9.36µm
u_ctrl.u_task_table.wcet_mem\[10\]\[2\],9.36µm
u_ctrl.u_task_table.wcet_mem\[14\]\[11\],9.36µm
u_ctrl.u_task_table.wcet_mem\[9\]\[8\],9.36µm
_03603_,9.35µm
u_ctrl.u_task_table.remaining_wcet_mem\[6\]\[4\],9.345µm
_03050_,9.34µm
_09500_,9.34µm
_09777_,9.34µm
_12245_,9.34µm
_13501_,9.34µm
_15195_,9.34µm
_16342_,9.34µm
_16413_,9.34µm
_17108_,9.34µm
_18834_,9.34µm
_20639_,9.34µm
_20671_,9.34µm
u_ctrl.u_task_table.abs_deadline_mem\[9\]\[6\],9.34µm
u_sq.cnt_mem\[9\]\[4\],9.34µm
_00446_,9.32µm
_03726_,9.32µm
_03764_,9.32µm
_04551_,9.32µm
_04707_,9.32µm
_04776_,9.32µm
_04961_,9.32µm
_05345_,9.32µm
_09347_,9.32µm
_09373_,9.32µm
_10061_,9.32µm
_11192_,9.32µm
_11237_,9.32µm
_12273_,9.32µm
_13586_,9.32µm
_15298_,9.32µm
_17007_,9.32µm
_17544_,9.32µm
_17660_,9.32µm
_17791_,9.32µm
_19522_,9.32µm
_21150_,9.32µm
u_ctrl.u_task_table.deadline_mem\[7\]\[4\],9.32µm
u_ctrl.u_task_table.wcet_mem\[2\]\[13\],9.32µm
_04500_,9.3µm
_11500_,9.3µm
_14757_,9.3µm
_15567_,9.3µm
_17406_,9.3µm
u_ctrl.u_task_table.deadline_mem\[15\]\[9\],9.3µm
u_spi.tx_shift\[11\],9.3µm
_01280_,9.285µm
_05648_,9.285µm
_00068_,9.28µm
_01701_,9.28µm
_02902_,9.28µm
_04387_,9.28µm
_12623_,9.28µm
_13583_,9.28µm
_14969_,9.28µm
_14982_,9.28µm
_15614_,9.28µm
_15660_,9.28µm
_16233_,9.28µm
_16904_,9.28µm
_19105_,9.28µm
ctrl_cmd_word2\[6\],9.28µm
u_ctrl.u_task_table.deadline_mem\[10\]\[11\],9.28µm
u_ctrl.u_task_table.deadline_mem\[4\]\[12\],9.28µm
u_ctrl.u_task_table.period_mem\[14\]\[5\],9.265µm
_04341_,9.26µm
_06111_,9.26µm
_06201_,9.26µm
_11119_,9.26µm
_12255_,9.26µm
_12628_,9.26µm
_14160_,9.26µm
_16540_,9.26µm
u_ctrl.u_task_table.remaining_wcet_mem\[15\]\[7\],9.26µm
u_ctrl.u_task_table.deadline_mem\[1\]\[3\],9.25µm
_00537_,9.24µm
_03814_,9.24µm
_05554_,9.24µm
_05569_,9.24µm
_05586_,9.24µm
_05984_,9.24µm
_06070_,9.24µm
_06345_,9.24µm
_07096_,9.24µm
_08933_,9.24µm
_08961_,9.24µm
_09709_,9.24µm
_11122_,9.24µm
_11332_,9.24µm
_11529_,9.24µm
_12230_,9.24µm
_15360_,9.24µm
_16483_,9.24µm
_17120_,9.24µm
_17200_,9.24µm
_19711_,9.24µm
_20730_,9.24µm
u_ctrl.u_task_table.abs_deadline_mem\[11\]\[6\],9.24µm
u_ctrl.u_task_table.abs_deadline_mem\[15\]\[8\],9.24µm
u_ctrl.u_task_table.period_mem\[7\]\[4\],9.24µm
_15922_,9.22µm
u_ctrl.u_task_table.deadline_mem\[15\]\[4\],9.22µm
_03273_,9.215µm
_04575_,9.205µm
_03743_,9.2µm
_05488_,9.2µm
_06621_,9.2µm
_08365_,9.2µm
_10365_,9.2µm
_10838_,9.2µm
_10854_,9.2µm
_11484_,9.2µm
_11845_,9.2µm
_11954_,9.2µm
_12235_,9.2µm
_13607_,9.2µm
_16797_,9.2µm
_17488_,9.2µm
_17916_,9.2µm
_21262_,9.2µm
_07092_,9.18µm
_17706_,9.18µm
_19682_,9.18µm
u_ctrl.u_task_table.abs_deadline_mem\[10\]\[14\],9.18µm
u_ctrl.u_task_table.period_mem\[6\]\[14\],9.18µm
net1782,9.17µm
_00851_,9.16µm
_01104_,9.16µm
_02555_,9.16µm
_02751_,9.16µm
_04634_,9.16µm
_07427_,9.16µm
_07728_,9.16µm
_08956_,9.16µm
_11201_,9.16µm
_13724_,9.16µm
_14487_,9.16µm
_16799_,9.16µm
_16832_,9.16µm
_17542_,9.16µm
_17817_,9.16µm
_19900_,9.16µm
_20007_,9.16µm
_21230_,9.16µm
u_ctrl.u_task_table.abs_deadline_mem\[13\]\[4\],9.16µm
u_ctrl.u_task_table.deadline_mem\[14\]\[5\],9.16µm
u_sq.cnt_mem\[0\]\[13\],9.16µm
u_sq.valid_mem\[4\]\[0\],9.16µm
_00050_,9.145µm
_04625_,9.14µm
_05638_,9.14µm
_08828_,9.14µm
_16563_,9.14µm
_21068_,9.14µm
u_ctrl.u_task_table.deadline_mem\[5\]\[9\],9.14µm
u_ctrl.u_task_table.remaining_wcet_mem\[11\]\[2\],9.14µm
u_ctrl.u_task_table.status_mem\[14\]\[0\],9.14µm
u_ctrl.u_task_table.wcet_mem\[9\]\[1\],9.14µm
_10993_,9.13µm
_03819_,9.12µm
_03829_,9.12µm
_04495_,9.12µm
_04864_,9.12µm
_08708_,9.12µm
_09458_,9.12µm
_09717_,9.12µm
_09976_,9.12µm
_16113_,9.12µm
_16310_,9.12µm
_17140_,9.12µm
_18843_,9.12µm
_19217_,9.12µm
_19804_,9.12µm
_20637_,9.12µm
u_ctrl.u_task_table.abs_deadline_mem\[4\]\[12\],9.12µm
u_ctrl.u_task_table.remaining_wcet_mem\[0\]\[1\],9.12µm
u_ctrl.u_task_table.remaining_wcet_mem\[1\]\[0\],9.12µm
u_ctrl.u_task_table.remaining_wcet_mem\[2\]\[6\],9.12µm
u_ctrl.u_task_table.wcet_mem\[15\]\[6\],9.12µm
u_ctrl.u_task_table.remaining_wcet_mem\[2\]\[14\],9.115µm
_11883_,9.1µm
u_ctrl.u_task_table.abs_deadline_mem\[5\]\[8\],9.1µm
u_ctrl.u_task_table.deadline_mem\[7\]\[9\],9.1µm
u_ctrl.u_task_table.remaining_wcet_mem\[13\]\[4\],9.1µm
u_ctrl.u_task_table.remaining_wcet_mem\[15\]\[4\],9.1µm
net1682,9.1µm
net1960,9.1µm
_00156_,9.08µm
_00743_,9.08µm
_05974_,9.08µm
_08272_,9.08µm
_08477_,9.08µm
_08800_,9.08µm
_09922_,9.08µm
_10106_,9.08µm
_10447_,9.08µm
_10874_,9.08µm
_11121_,9.08µm
_11279_,9.08µm
_11817_,9.08µm
_12346_,9.08µm
_12501_,9.08µm
_15191_,9.08µm
_19146_,9.08µm
_20836_,9.08µm
_20932_,9.08µm
_02834_,9.065µm
_00121_,9.06µm
_03029_,9.06µm
_08317_,9.06µm
_10288_,9.06µm
_10803_,9.06µm
_11927_,9.06µm
_12914_,9.06µm
_13500_,9.06µm
_13841_,9.06µm
_15361_,9.06µm
_15968_,9.06µm
_17626_,9.06µm
_19669_,9.06µm
u_scan.scan_reg\[231\],9.06µm
net1398,9.06µm
net1618,9.05µm
_17442_,9.045µm
_02858_,9.04µm
_03316_,9.04µm
_04252_,9.04µm
_05937_,9.04µm
_06088_,9.04µm
_09490_,9.04µm
_13259_,9.04µm
_16306_,9.04µm
_18030_,9.04µm
_18669_,9.04µm
_19220_,9.04µm
_20130_,9.04µm
u_sq.cnt_mem\[4\]\[15\],9.04µm
u_ctrl.u_task_table.deadline_mem\[15\]\[7\],9.025µm
u_ctrl.u_task_table.deadline_mem\[4\]\[1\],9.025µm
_00233_,9.02µm
_02899_,9.02µm
_03379_,9.02µm
_03649_,9.02µm
_06389_,9.02µm
_08369_,9.02µm
_09137_,9.02µm
_09356_,9.02µm
_10736_,9.02µm
_11480_,9.02µm
_13223_,9.02µm
_13654_,9.02µm
_13677_,9.02µm
_13689_,9.02µm
_15045_,9.02µm
